Drug Name,Manufacturer,Strength,Form,Category,Indication,Side Effects,Price
Calpol Syrup 20s SR-112,Pfizer,20s,Syrup,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,1474
Betnovate-N 15g SR-113,Ferozsons,15g,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1037
Canesten 250mg SR-114,Abbott,250mg,Gel,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1250
Pulmonol 20s SR-115,GSK,20s,Syrup,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,1351
Entamizole 250mg/5ml SR-116,Abbott,250mg/5ml,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",396
Tusdec 500mg SR-117,Hilton,500mg,Suspension,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",1199
Mucaine 10mg SR-118,Searle,10mg,Suspension,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",83
Acefyl 250mg/5ml SR-119,Barrett Hodgson,250mg/5ml,Syrup,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1479
Selsun Blue 30g SR-120,GSK,30g,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,819
Canesten 40mg SR-121,Abbott,40mg,Gel,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1100
Cranmax 500mg SR-122,Barrett Hodgson,500mg,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,363
Hydrozole 10mg SR-123,Abbott,10mg,Gel,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,806
Arinac Forte 250mg/5ml SR-124,PharmEvo,250mg/5ml,Tablet,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",250
Panadol 10s SR-125,Martin Dow,10s,Capsule,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,897
Brufen Syrup 50mg SR-126,Bosch,50mg,Syrup,Syrups/Suspensions,Pediatric antipyretic and anti-inflammatory for fever and child teething pain.,Mild stomach upset or nausea.,1372
Ennerzo 40mg SR-127,Bayer,40mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",132
Mucaine 20s SR-128,Hilton,20s,Syrup,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",356
Klaricid 50mg SR-129,Abbott,50mg,Capsule,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",342
Zestril 100mg SR-130,Searle,100mg,Tablet,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",417
Surbex-Z 15g SR-131,PharmEvo,15g,Tablet,Tablets/Capsules,Multivitamin and mineral supplement to correct nutritional deficiencies and boost immunity.,None under recommended daily allowance.,1357
Selsun Blue 100mg SR-132,Getz Pharma,100mg,Ointment,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,1176
Glucophage 30s SR-133,PharmEvo,30s,Tablet,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",121
Entamizole 100mg SR-134,Getz Pharma,100mg,Capsule,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",551
Canesten 20s SR-135,Abbott,20s,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,433
Hydrocortisone 15g SR-136,Sanofi,15g,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1343
Lowplat 500mg/5ml SR-137,Bayer,500mg/5ml,Tablet,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",162
Azomax 20s SR-138,Martin Dow,20s,Capsule,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",1352
Voltral Gel 50mg SR-139,Abbott,50mg,Cream,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,209
Lowplat 20mg SR-140,Searle,20mg,Tablet,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",1424
Ispaghol 20s SR-141,Ferozsons,20s,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",185
Risek 15g SR-142,Hilton,15g,Tablet,Tablets/Capsules,"Treats gastric acidity, heartburn, gastroesophageal reflux disease (GERD), and peptic ulcers.","Headache, mild abdominal pain, or flatulence.",1130
Velo 15g SR-143,Novartis,15g,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",149
Cravit 30s SR-144,Martin Dow,30s,Tablet,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",433
Polyfax 250mg/5ml SR-145,Getz Pharma,250mg/5ml,Cream,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,498
Smecta 20g SR-146,Bayer,20g,Powder,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,709
Voltral Gel 30g SR-147,Abbott,30g,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,1158
Somogel 250mg/5ml SR-148,Hilton,250mg/5ml,Cream,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,488
Betnovate-N 50mg SR-149,Barrett Hodgson,50mg,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1021
Mobic Gel 20g SR-150,Searle,20g,Gel,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,1392
Pulmonol 15g SR-151,Bosch,15g,Syrup,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,652
Ennerzo 5ml SR-152,Barrett Hodgson,5ml,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",144
Canesten 50mg SR-153,Barrett Hodgson,50mg,Gel,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,992
Calpol 250mg SR-154,Getz Pharma,250mg,Tablet,Tablets/Capsules,"Relieves fever, teething pain, and mild pain in pediatric patients.",Safe under standard dose. Discontinue if allergic reaction occurs.,1105
Gravinate 250mg/5ml SR-155,Abbott,250mg/5ml,Syrup,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",758
Cravit 5ml SR-156,PharmEvo,5ml,Tablet,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1331
Fesovit 250mg/5ml SR-157,Sanofi,250mg/5ml,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,268
Hydrozole 250mg SR-158,Pfizer,250mg,Cream,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,1144
Lipiget 5ml SR-159,Searle,5ml,Capsule,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",1468
Somogel 50mg SR-160,Getz Pharma,50mg,Gel,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1007
Smecta 50s SR-161,PharmEvo,50s,Powder,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,624
Somogel 5ml SR-162,Searle,5ml,Cream,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1365
Instaflex 5ml SR-163,Sanofi,5ml,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",224
Fesovit 20s SR-164,Searle,20s,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1304
Dalacin-T 30g SR-165,Pfizer,30g,Gel,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,502
Corex 100mg SR-166,Pfizer,100mg,Syrup,Syrups/Suspensions,Expectorant and nasal decongestant for chesty coughs and sinus congestion.,Mild drowsiness or dry mouth.,642
Azomax 30g SR-167,Pfizer,30g,Tablet,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",175
Co-Amoxiclav 250mg/5ml SR-168,Ferozsons,250mg/5ml,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",1184
Fucidin 5ml SR-169,Bayer,5ml,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,191
Softin 10s SR-170,Hilton,10s,Tablet,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",567
Cravit 250mg SR-171,PharmEvo,250mg,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",203
Mucaine 30s SR-172,Ferozsons,30s,Suspension,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",368
Fesovit 1g SR-173,Pfizer,1g,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1221
Surbex-Z 500mg SR-174,Bosch,500mg,Tablet,Tablets/Capsules,Multivitamin and mineral supplement to correct nutritional deficiencies and boost immunity.,None under recommended daily allowance.,927
Somogel 15g SR-175,Getz Pharma,15g,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,341
Cac-1000 10s SR-176,Martin Dow,10s,Syrup,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,338
Entamizole 15g SR-177,Getz Pharma,15g,Capsule,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",1497
Velo 250mg SR-178,Barrett Hodgson,250mg,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",258
Co-Amoxiclav 250mg SR-179,Getz Pharma,250mg,Syrup,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",921
ORS (Nimkol) 50s SR-180,Martin Dow,50s,Powder,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,98
Loprin 250mg/5ml SR-181,PharmEvo,250mg/5ml,Capsule,Tablets/Capsules,"Low-dose aspirin to prevent platelet aggregation, heart attacks, and blood clots.",Mild indigestion or increased bleeding tendency.,76
Brufen 50mg SR-182,PharmEvo,50mg,Capsule,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",1312
Acefyl 50s SR-183,Pfizer,50s,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1333
Calpol Syrup 20g SR-184,Novartis,20g,Syrup,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,205
Panadol 5ml SR-185,Barrett Hodgson,5ml,Tablet,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,960
Xanax 20s SR-186,Hilton,20s,Tablet,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",1472
Fucidin 5ml SR-187,Abbott,5ml,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,215
Cranmax 500mg SR-188,GSK,500mg,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,543
Hydrocortisone 5ml SR-189,Sami,5ml,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,336
Hydrocortisone 20s SR-190,Martin Dow,20s,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,317
Ennerzo 20g SR-191,Searle,20g,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",950
Surbex-Z 250mg SR-192,Novartis,250mg,Capsule,Tablets/Capsules,Multivitamin and mineral supplement to correct nutritional deficiencies and boost immunity.,None under recommended daily allowance.,105
Betnovate-N 50s SR-193,Barrett Hodgson,50s,Cream,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",582
Ispaghol 15g SR-194,Hilton,15g,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",202
Fesovit 500mg SR-195,Martin Dow,500mg,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,643
Citra-Alka 500mg/5ml SR-196,GSK,500mg/5ml,Sachet,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,563
Selsun Blue 40mg SR-197,PharmEvo,40mg,Ointment,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,833
Sancos 10s SR-198,Pfizer,10s,Suspension,Syrups/Suspensions,"Cough suppressant syrup to control dry, tickly, non-productive coughs.",Mild drowsiness or dry throat.,755
Calpol Syrup 10s SR-199,Martin Dow,10s,Syrup,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,1200
Amoxil 20g SR-200,Sanofi,20g,Tablet,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",212
Canesten 20g SR-201,GSK,20g,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,986
Gaviscon 500mg/5ml SR-202,Novartis,500mg/5ml,Suspension,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,1243
Zestril 5ml SR-203,GSK,5ml,Capsule,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",713
Betnovate-N 30s SR-204,Barrett Hodgson,30s,Cream,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",112
Voltral Gel 20g SR-205,Novartis,20g,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,1100
Brufen 1g SR-206,Ferozsons,1g,Capsule,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",368
Ispaghol 15g SR-207,Bosch,15g,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",838
Hydryllin 1g SR-208,Barrett Hodgson,1g,Syrup,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",806
Acetone 20g SR-209,Pfizer,20g,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,419
Entamizole 50mg SR-210,Sami,50mg,Capsule,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",1378
Mucaine 500mg/5ml SR-211,Pfizer,500mg/5ml,Syrup,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",93
Tusdec 20g SR-212,Sami,20g,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",664
Acefyl 20s SR-213,Barrett Hodgson,20s,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,345
Lipiget 20s SR-214,Bosch,20s,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",566
Arinac Forte 20mg SR-215,Bosch,20mg,Tablet,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",1386
Hydryllin 10s SR-216,Hilton,10s,Syrup,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",829
Dermovate 20g SR-217,Novartis,20g,Cream,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",750
Septran 100mg SR-218,Searle,100mg,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",1456
Zovirax 5ml SR-219,Bosch,5ml,Cream,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,1055
Dermovate 250mg SR-220,Sanofi,250mg,Ointment,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",1461
Fucidin 250mg SR-221,Getz Pharma,250mg,Gel,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,734
ORS (Nimkol) 30s SR-222,Bosch,30s,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,1044
Hydrozole 250mg/5ml SR-223,Novartis,250mg/5ml,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,265
Fucidin 20s SR-224,Martin Dow,20s,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,1358
Brufen Syrup 20s SR-225,Getz Pharma,20s,Syrup,Syrups/Suspensions,Pediatric antipyretic and anti-inflammatory for fever and child teething pain.,Mild stomach upset or nausea.,901
Polyfax 500mg/5ml SR-226,Abbott,500mg/5ml,Gel,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,517
Hydrocortisone 250mg/5ml SR-227,PharmEvo,250mg/5ml,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1132
Cravit 250mg SR-228,Novartis,250mg,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1222
Skinoren 30g SR-229,Barrett Hodgson,30g,Cream,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",1222
Instaflex 15g SR-230,Getz Pharma,15g,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",809
Lipiget 30g SR-231,Ferozsons,30g,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",558
Septran 10s SR-232,Searle,10s,Tablet,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",721
Betnovate-N 15g SR-233,Sanofi,15g,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",252
Panadol 1g SR-234,Sami,1g,Capsule,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,715
Amoxil 500mg SR-235,Getz Pharma,500mg,Capsule,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",853
Zestril 10mg SR-236,Getz Pharma,10mg,Tablet,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",276
Cranmax 250mg SR-237,PharmEvo,250mg,Sachet,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,1380
Betnovate-N 100mg SR-238,Abbott,100mg,Cream,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",965
Lowplat 30s SR-239,PharmEvo,30s,Capsule,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",1321
Pulmonol 10s SR-240,Searle,10s,Suspension,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,281
Voltral Gel 20mg SR-241,Hilton,20mg,Ointment,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,1285
Selsun Blue 250mg/5ml SR-242,Searle,250mg/5ml,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,536
Calpol Syrup 50mg SR-243,GSK,50mg,Suspension,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,972
Dalacin-T 20s SR-244,Bayer,20s,Cream,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,146
Evion 10s SR-245,PharmEvo,10s,Capsule,Tablets/Capsules,"Vitamin E supplement for healthy muscle, skin, nerve tissue, and antioxidant protection.",None under standard dosage.,1259
